Product Description,Category,Stock Unit,Pack,Pack Size,Case Price,On Hand,Par
Chicken Breast Boneless,Protein,lb,case,40,92.40,55,40
Ground Beef 80/20,Protein,lb,case,40,148.00,20,30
Whole Milk,Dairy,gallon,case,4,15.20,12,8
Shredded Mozzarella,Dairy,lb,case,30,78.50,18,12
Large Eggs,Dairy,dozen,case,15,34.80,30,20
White Sandwich Bread,Dry Goods,loaf,case,12,22.00,24,16
Russet Potatoes,Produce,lb,bag,50,28.00,60,40
Iceberg Lettuce,Produce,head,case,24,31.50,20,12
Spaghetti Pasta,Dry Goods,lb,case,20,19.80,25,15
Marinara Sauce,Pantry,can,case,6,26.40,12,6
Canola Oil,Pantry,gallon,case,6,33.60,8,6
Cheddar Cheese,Dairy,lb,case,20,62.00,15,10
Bacon,Protein,lb,case,15,66.75,10,8
Frozen Broccoli Florets,Frozen,lb,case,20,24.00,22,12
Apples Gala,Produce,lb,case,40,44.00,35,20
