Description,Brand,Category,Sold By,Pack Size,Case Price,On Hand,Reorder Point
Chicken Breast Boneless,Sysco Classic,Protein,case,30,71.10,55,40
Whole Milk,Sysco Imperial,Dairy,case,4,14.60,12,8
Large Eggs,Wholesome Farms,Dairy,case,15,33.00,30,20
Spaghetti Pasta,Sysco Reliance,Dry Goods,case,20,18.50,25,15
Marinara Sauce,Sysco Classic,Pantry,case,6,25.00,12,6
Turkey Breast Sliced,Sysco Classic,Protein,case,20,58.00,12,8
Butter Solids,Sysco Imperial,Dairy,case,30,96.00,10,6
Hamburger Buns,Bakers Source,Dry Goods,case,8,18.40,16,10
Ketchup,Sysco Classic,Pantry,case,6,21.00,9,6
Frozen French Fries,Simplot,Frozen,case,30,39.00,24,15
Bananas,Sysco Produce,Produce,case,40,26.40,30,18
Long Grain Rice,Sysco Reliance,Dry Goods,case,25,21.25,20,12
Orange Juice,Sysco Classic,Beverage,case,4,22.00,8,6
Cream Cheese,Philadelphia,Dairy,case,10,34.00,8,5
Green Beans Canned,Sysco Classic,Pantry,case,6,19.80,12,6
